mode,cores,threads,pf,stage,count,avg,std,p50,p90,p99,p999,trimmed_mean
fread,4,8,0.6,5_driver_ssd,106,261432.90667057797,140499.76312139854,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,258439.9135275781
fread,4,8,0.6,6_context_switch,13055,3909893.640631667,106293020.95798399,2965820.800757861,2965820.800757861,5931641.601515722,5931641.601515722,2973122.352553397
mmap,1,2,0.4,2_kernel_entry,1125,1556.2835712310132,1503.8686487134146,1448.1546878700494,2896.309375740099,5792.618751480198,21733.905555556063,1469.8179266278519
mmap,1,2,0.4,3_filesystem,25,160571.39179103108,244540.57190750825,23170.47500592079,593164.1601515728,741455.2001894653,741455.2001894653,160571.39179103108
mmap,1,2,0.4,4_block_layer,74,3248.5632187355163,3174.6304211948895,1448.1546878700494,9847.451877516352,11585.237502960395,11585.237502960395,3248.5632187355163
mmap,1,2,0.4,5_driver_ssd,106,231704.75005920793,95481.2854131685,185363.80004736633,370727.60009473265,370727.60009473265,370727.60009473265,231704.75005920793
mmap,1,2,0.4,6_context_switch,3375,6520364.753957827,209025731.93152553,2965820.800757861,2965820.800757861,2965820.800757861,5931641.601515722,2946102.439435205
mmap,4,4,1.0,2_kernel_entry,760,1733.974692054928,1409.9166003507437,1448.1546878700494,2896.309375740099,5792.618751480198,7188.6398705875,1697.6022446948507
mmap,4,4,1.0,3_filesystem,19,103047.6388421214,187265.03232362677,23170.47500592079,370727.60009473265,674724.2321724135,734782.1033877612,103047.6388421214
mmap,4,4,1.0,4_block_layer,62,3888.9960569413424,3421.610221489931,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3888.9960569413424
mmap,4,4,1.0,5_driver_ssd,81,5491116.52115624,41988260.06690435,185363.80004736633,370727.60009473265,94906265.62425256,351153182.80973643,5491116.52115624
mmap,4,4,1.0,6_context_switch,71,171128072.32779554,1431510237.6017816,23170.47500592079,46340.95001184158,3644660109.291292,11297667810.842995,171128072.32779554
fread,1,1,0.6,2_kernel_entry,656854,373.7940404294884,231.01393142765585,362.03867196751236,362.03867196751236,724.0773439350247,1448.1546878700494,365.7382584078511
fread,1,1,0.6,3_filesystem,33,49061.72548602167,73420.2937116019,23170.47500592079,92681.90002368316,311411.18407957535,364795.9584932176,49061.72548602167
fread,1,1,0.6,4_block_layer,65,4188.5089433779885,3777.37679844048,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,4188.5089433779885
fread,1,1,0.6,5_driver_ssd,72,231704.7500592079,335238.68747307,185363.80004736633,185363.80004736633,1386521.2243543142,2807890.8431175095,231704.7500592079
fread,1,1,0.6,6_context_switch,49,247951863.4900177,1717624290.7865093,11585.237502960395,13902.285003552508,6317316938.446226,11564933493.75847,247951863.4900177
mmap,4,4,0.4,2_kernel_entry,1577,1741.5506439730818,1611.788175803179,1448.1546878700494,2896.309375740099,5792.618751480198,16497.378204217985,1674.692137426968
mmap,4,4,0.4,3_filesystem,23,689447.5579207409,2405028.374123699,23170.47500592079,667309.680170519,9579601.186447904,11634915.001373105,689447.5579207409
mmap,4,4,0.4,4_block_layer,79,4271.139775616727,3751.9857971756746,2896.309375740099,11585.237502960395,14133.98975361167,22266.82648069001,4271.139775616727
mmap,4,4,0.4,5_driver_ssd,90,242002.7389507282,147965.29441757285,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,242002.7389507282
mmap,4,4,0.4,6_context_switch,74,164224185.86426178,1402595109.3490622,23170.47500592079,185363.80004736633,3280501802.270224,11261251980.140888,164224185.86426178
mmap,4,4,0.2,2_kernel_entry,1278,1658.9189851656906,1611.4310345343954,1448.1546878700494,2896.309375740099,5792.618751480198,23170.47500592079,1572.8761442416328
mmap,4,4,0.2,3_filesystem,24,128765.0876631119,212998.52981443587,23170.47500592079,370727.60009473265,741455.2001894653,741455.2001894653,128765.0876631119
mmap,4,4,0.2,4_block_layer,74,4344.4640636101485,4423.651811722002,2896.309375740099,11585.237502960395,23170.47500592079,23170.47500592079,4344.4640636101485
mmap,4,4,0.2,5_driver_ssd,99,316429.11321217084,419895.6174398749,185363.80004736633,370727.60009473265,2965820.800757861,2965820.800757861,316429.11321217084
mmap,4,4,0.2,6_context_switch,91,133703825.60834138,1266418263.282412,23170.47500592079,741455.2001894653,1216134819.350692,11054815281.848988,133703825.60834138
fread,2,4,0.8,2_kernel_entry,654146,559.8386846412651,327.2837477091721,724.0773439350247,724.0773439350247,724.0773439350247,1448.1546878700494,553.1839133029605
fread,2,4,0.8,3_filesystem,31,48676.68337937392,75100.44962339305,23170.47500592079,92681.90002368316,315118.46008052264,365166.6860933121,48676.68337937392
fread,2,4,0.8,4_block_layer,58,4232.107234378851,4840.110052698744,2896.309375740099,11585.237502960395,23170.47500592079,23170.47500592079,4232.107234378851
fread,2,4,0.8,5_driver_ssd,64,182467.49067162623,59002.307751476976,185363.80004736633,185363.80004736633,370727.60009473265,370727.60009473265,182467.49067162623
fread,2,4,0.8,6_context_switch,6522,4888944.469434846,150375896.4610283,2965820.800757861,2965820.800757861,5931641.601515722,5931641.601515722,3023355.497143027
fread,1,2,0.8,2_kernel_entry,660017,375.4167533966503,264.3966805044808,362.03867196751236,362.03867196751236,724.0773439350247,1448.1546878700494,366.2886524662455
fread,1,2,0.8,3_filesystem,32,50956.943079427365,74733.97042844706,23170.47500592079,92681.90002368316,313264.8220800493,364981.3222932652,50956.943079427365
fread,1,2,0.8,4_block_layer,60,4320.328152145647,4990.300337432385,2896.309375740099,11585.237502960395,23170.47500592079,23170.47500592079,4320.328152145647
fread,1,2,0.8,5_driver_ssd,74,195383.4649147915,72382.97718833612,185363.80004736633,370727.60009473265,370727.60009473265,370727.60009473265,195383.4649147915
fread,1,2,0.8,6_context_switch,3234,6723654.147678994,213531852.11822024,2965820.800757861,2965820.800757861,5931641.601515722,5931641.601515722,2967458.083534306
mmap,2,2,1.0,2_kernel_entry,905,1598.5707548974365,1186.7201381699158,1448.1546878700494,2896.309375740099,5792.618751480198,5792.618751480198,1564.888690330826
mmap,2,2,1.0,3_filesystem,22,131518.77574383447,220715.73818236985,23170.47500592079,370727.60009473265,741455.2001894653,741455.2001894653,131518.77574383447
mmap,2,2,1.0,4_block_layer,62,3795.5667222400493,3347.787169824762,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3795.5667222400493
mmap,2,2,1.0,5_driver_ssd,92,277038.28811427025,168749.77235751922,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,277038.28811427025
mmap,2,2,1.0,6_context_switch,63,192843266.15780932,1518306677.6828256,11585.237502960395,23170.47500592079,4616355685.519656,11394837368.465858,192843266.15780932
mmap,1,2,1.0,2_kernel_entry,855,1521.8327333932627,1324.792610712089,1448.1546878700494,2896.309375740099,5792.618751480198,13276.682178393447,1461.1000515876008
mmap,1,2,1.0,3_filesystem,34,91659.67318518666,148158.54782371433,34755.71250888119,185363.80004736633,619115.0921582042,729221.1893863413,91659.67318518666
mmap,1,2,1.0,4_block_layer,91,3851.1366424676035,3684.0848343296684,2896.309375740099,11585.237502960395,12743.761253256369,22127.803630654482,3851.1366424676035
mmap,1,2,1.0,5_driver_ssd,112,297078.5902544844,208401.23881961696,185363.80004736633,741455.2001894653,741455.2001894653,741455.2001894653,294896.95462081
mmap,1,2,1.0,6_context_switch,3373,6449298.727226121,209089112.8714566,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2873447.1864615027
mmap,4,8,0.0,1_user_space,4,9111002948.082838,5260236660.293105,12148001999.9042,12148001999.9042,12148001999.9042,12148001999.9042,9111002948.082838
mmap,4,8,0.0,2_kernel_entry,1600,1549.525516020953,1349.6129649644006,1448.1546878700494,2896.309375740099,5792.618751480198,16230.917741648293,1485.0974094993878
mmap,4,8,0.0,3_filesystem,41,99816.71092489659,205601.7437565776,5792.618751480198,370727.60009473265,741455.2001894653,741455.2001894653,99816.71092489659
mmap,4,8,0.0,4_block_layer,115,13207787.793198379,140983556.27850017,1448.1546878700494,11585.237502960395,11585.237502960395,1345392542.2064805,3492.231437562729
mmap,4,8,0.0,5_driver_ssd,210,311036.0430556701,482381.67036088463,185363.80004736633,370727.60009473265,2965820.800757861,2965820.800757861,288168.7231318887
mmap,4,8,0.0,6_context_switch,13410,3847619.3607161315,104874563.93343554,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2962435.675814065
fread,4,4,0.4,2_kernel_entry,776625,554.4281083583156,327.0342770856305,724.0773439350247,724.0773439350247,724.0773439350247,1448.1546878700494,547.3403402607063
fread,4,4,0.4,3_filesystem,35,43601537.85257015,252944949.4935817,23170.47500592079,185363.80004736633,1004226923.1366067,1467072917.3028853,43601537.85257015
fread,4,4,0.4,4_block_layer,69,4092.611074415358,4143.632305179756,2896.309375740099,11585.237502960395,15292.513503907643,22382.67885571951,4092.611074415358
fread,4,4,0.4,5_driver_ssd,81,6329830.505321176,31108223.22114411,185363.80004736633,370727.60009473265,189812531.24850312,189812531.24850312,6329830.505321176
fread,4,4,0.4,6_context_switch,89,137588558.58129588,1280353426.4703681,11585.237502960395,55609.14001421003,1541277753.7379,11087329575.287638,137588558.58129588
mmap,2,4,0.0,1_user_space,3,4049336413.559213,5726621354.666942,5792.618751480198,9718402758.447111,11905042075.75849,12123706007.489632,4049336413.559213
mmap,2,4,0.0,2_kernel_entry,1357,1570.8796614183589,1487.2481020001132,1448.1546878700494,2896.309375740099,5792.618751480198,19046.130454869588,1485.6913796292658
mmap,2,4,0.0,3_filesystem,32,169162.56947682015,267685.2924760716,23170.47500592079,741455.2001894653,741455.2001894653,741455.2001894653,169162.56947682015
